base_code,stage2_code,second_stage,model,selected_change,char_distance,word_distance,token_distance
fewrel_gemma_etgpo_node_x,fewrel_gemma_etgpo_node_x_lpo,lpo,gemma,True,573,92,110
fewrel_gemma_etgpo_node_x,fewrel_gemma_etgpo_node_x_gradpo-gen,gradpo-gen,gemma,False,0,0,0
fewrel_gemma_etgpo_node_x,fewrel_gemma_etgpo_node_x_gradpo-prob,gradpo-prob,gemma,False,0,0,0
fewrel_gemma_etgpo_node_x,fewrel_gemma_etgpo_node_x_greater,greater,gemma,False,0,0,0
fewrel_gemma_etgpo_node_x,fewrel_gemma_etgpo_node_x_greater-tg,greater-tg,gemma,True,3,2,1
fewrel_gemma_evoprompt_node_x,fewrel_gemma_evoprompt_node_x_lpo,lpo,gemma,True,254,41,43
fewrel_gemma_evoprompt_node_x,fewrel_gemma_evoprompt_node_x_gradpo-gen,gradpo-gen,gemma,True,17,2,2
fewrel_gemma_evoprompt_node_x,fewrel_gemma_evoprompt_node_x_gradpo-prob,gradpo-prob,gemma,True,21,2,3
fewrel_gemma_evoprompt_node_x,fewrel_gemma_evoprompt_node_x_greater,greater,gemma,True,5,1,1
fewrel_gemma_evoprompt_node_x,fewrel_gemma_evoprompt_node_x_greater-tg,greater-tg,gemma,True,2,1,1
fewrel_gemma_evoprompt_node_y,fewrel_gemma_evoprompt_node_y_lpo,lpo,gemma,True,59,13,13
fewrel_gemma_evoprompt_node_y,fewrel_gemma_evoprompt_node_y_gradpo-gen,gradpo-gen,gemma,True,37,7,7
fewrel_gemma_evoprompt_node_y,fewrel_gemma_evoprompt_node_y_gradpo-prob,gradpo-prob,gemma,True,2,2,2
fewrel_gemma_evoprompt_node_y,fewrel_gemma_evoprompt_node_y_greater,greater,gemma,False,0,0,0
fewrel_gemma_evoprompt_node_y,fewrel_gemma_evoprompt_node_y_greater-tg,greater-tg,gemma,False,0,0,0
fewrel_gemma_rpo_node_x,fewrel_gemma_rpo_node_x_lpo,lpo,gemma,True,1877,271,423
fewrel_gemma_rpo_node_x,fewrel_gemma_rpo_node_x_gradpo-gen,gradpo-gen,gemma,True,56,11,11
fewrel_gemma_rpo_node_x,fewrel_gemma_rpo_node_x_gradpo-prob,gradpo-prob,gemma,False,0,0,0
