code,base_code,method,source_declared,source_log,run_dir,summary_json,summary_exists,prompt_verified,changed_spans,span_source,generation_index,beam_index,selected_by_optimizer,selection_note
tacred_qwen_rpo_node_x_gradpo-gen,tacred_qwen_rpo_node_x,gradpo-gen,nohup_outs/superstart_llm_cand_sugg_beam5_C5_Q1_stdp2.0_px_0.5_log_r5_er_0.6_mt2_sz20000_20260508_122409_node2_qwen4_v7.out,codes/nohup_outs/superstart_llm_cand_sugg_beam5_C5_Q1_stdp2.0_px_0.5_log_r5_er_0.6_mt2_sz20000_20260508_122409_node2_qwen4_v7.out,../gradients_experiments/20260518_235225_superstart_llm_cand_sugg_beam5_C5_Q1_stdp2.0_px_0.5_log_r5_er_0.6_mt2_sz20000_20260508_122409_node2_qwen4_v7,gradients_experiments/20260518_235225_superstart_llm_cand_sugg_beam5_C5_Q1_stdp2.0_px_0.5_log_r5_er_0.6_mt2_sz20000_20260508_122409_node2_qwen4_v7/summary.json,True,True,4,summary.json matching beam node,2,2,True,stored prompt is optimizer-selected
tacred_qwen_rpo_node_x_gradpo-prob,tacred_qwen_rpo_node_x,gradpo-prob,codes/nohup_outs/superstart_llm_prob_beam5_C5_Q1_stdp2.0_px_0.5_log_r5_er_0.6_mt1_top0.95_sz20000_20260508_122409_node2_qwen4_v9.out,codes/nohup_outs/superstart_llm_prob_beam5_C5_Q1_stdp2.0_px_0.5_log_r5_er_0.6_mt1_top0.95_sz20000_20260508_122409_node2_qwen4_v9.out,../gradients_experiments/20260520_035344_superstart_llm_prob_beam5_C5_Q1_stdp2.0_px_0.5_log_r5_er_0.6_mt1_top0.95_sz20000_20260508_122409_node2_qwen4_v9,gradients_experiments/20260520_035344_superstart_llm_prob_beam5_C5_Q1_stdp2.0_px_0.5_log_r5_er_0.6_mt1_top0.95_sz20000_20260508_122409_node2_qwen4_v9/summary.json,True,True,1,summary.json matching beam node,4,4,True,stored prompt is optimizer-selected
tacred_qwen_rpo_node_y_gradpo-gen,tacred_qwen_rpo_node_y,gradpo-gen,nohup_outs/tanvir2.txt,codes/nohup_outs/tanvir2.txt,../gradients_experiments/20260519_085729_superstart_llm_cand_sugg_beam5_C5_Q1_stdp2.0_px_0.5_log_r5_er_0.6_mt1_sz20000_20260508_122409_node10_qwen4_v7,gradients_experiments/20260519_085729_superstart_llm_cand_sugg_beam5_C5_Q1_stdp2.0_px_0.5_log_r5_er_0.6_mt1_sz20000_20260508_122409_node10_qwen4_v7/summary.json,False,True,4,source log selected/hinted beam_node,0,0,True,stored prompt is optimizer-selected
tacred_qwen_rpo_node_y_gradpo-prob,tacred_qwen_rpo_node_y,gradpo-prob,nohup_outs/superstart_llm_prob_beam5_C5_Q1_stdp2.0_px_0.5_log_r5_er_0.6_mt1_top0.95_sz20000_20260508_122409_node10_qwen4_v9.out,codes/nohup_outs/superstart_llm_prob_beam5_C5_Q1_stdp2.0_px_0.5_log_r5_er_0.6_mt1_top0.95_sz20000_20260508_122409_node10_qwen4_v9.out,../gradients_experiments/20260520_061700_superstart_llm_prob_beam5_C5_Q1_stdp2.0_px_0.5_log_r5_er_0.6_mt1_top0.95_sz20000_20260508_122409_node10_qwen4_v9,gradients_experiments/20260520_061700_superstart_llm_prob_beam5_C5_Q1_stdp2.0_px_0.5_log_r5_er_0.6_mt1_top0.95_sz20000_20260508_122409_node10_qwen4_v9/summary.json,True,True,1,summary.json matching beam node,0,0,True,stored prompt is optimizer-selected
tacred_qwen_evoprompt_node_x_gradpo-gen,tacred_qwen_evoprompt_node_x,gradpo-gen,nohup_outs/superstart_evoprompt_llm_cand_sugg_beam5_C5_Q1_stdp2.0_px_0.5_log_r5_er_0.6_mt2_sz20000_20260513_093517_Qwen_node14_qwen4_v9.out,codes/nohup_outs/superstart_evoprompt_llm_cand_sugg_beam5_C5_Q1_stdp2.0_px_0.5_log_r5_er_0.6_mt2_sz20000_20260513_093517_Qwen_node14_qwen4_v9.out,../gradients_experiments/20260520_055638_superstart_evoprompt_llm_cand_sugg_beam5_C5_Q1_stdp2.0_px_0.5_log_r5_er_0.6_mt2_sz20000_20260513_093517_Qwen_node14_qwen4_v9,gradients_experiments/20260520_055638_superstart_evoprompt_llm_cand_sugg_beam5_C5_Q1_stdp2.0_px_0.5_log_r5_er_0.6_mt2_sz20000_20260513_093517_Qwen_node14_qwen4_v9/summary.json,True,True,4,summary.json matching beam node,4,4,True,stored prompt is optimizer-selected
tacred_qwen_evoprompt_node_x_gradpo-prob,tacred_qwen_evoprompt_node_x,gradpo-prob,codes/nohup_outs/aunabilevo1.txt,codes/nohup_outs/aunabilevo1.txt,../gradients_experiments/20260520_130857_superstart_llm_prob_beam5_C5_Q1_stdp2.0_px_0.5_log_r5_er_0.6_mt1_top0.95_sz20000_20260513_093517_node14_qwen4_v9,gradients_experiments/20260520_130857_superstart_llm_prob_beam5_C5_Q1_stdp2.0_px_0.5_log_r5_er_0.6_mt1_top0.95_sz20000_20260513_093517_node14_qwen4_v9/summary.json,False,True,4,source log selected/hinted beam_node,0,0,True,stored prompt is optimizer-selected
tacred_qwen_evoprompt_node_y_gradpo-gen,tacred_qwen_evoprompt_node_y,gradpo-gen,nohup_outs/superstart_evoprompt_llm_cand_sugg_beam5_C5_Q1_stdp2.0_px_0.5_log_r5_er_0.6_mt2_sz20000_20260513_093517_Qwen_node42_qwen4_v9.out,codes/nohup_outs/superstart_evoprompt_llm_cand_sugg_beam5_C5_Q1_stdp2.0_px_0.5_log_r5_er_0.6_mt2_sz20000_20260513_093517_Qwen_node42_qwen4_v9.out,../gradients_experiments/20260520_053828_superstart_evoprompt_llm_cand_sugg_beam5_C5_Q1_stdp2.0_px_0.5_log_r5_er_0.6_mt2_sz20000_20260513_093517_Qwen_node42_qwen4_v9,gradients_experiments/20260520_053828_superstart_evoprompt_llm_cand_sugg_beam5_C5_Q1_stdp2.0_px_0.5_log_r5_er_0.6_mt2_sz20000_20260513_093517_Qwen_node42_qwen4_v9/summary.json,True,True,2,summary.json matching beam node,,None,False,stored prompt is a retained/evaluated but non-selected candidate
tacred_qwen_etgpo_node_x_gradpo-gen,tacred_qwen_etgpo_node_x,gradpo-gen,nohup_outs/superstart_etgpo_llm_cand_sugg_beam5_C5_Q1_stdp2.0_px_0.5_log_r5_er_0.6_mt1_top0.95_sz20000_unified_opt_fs_tacred_20260513_230331_node2_qwen4_v9_ultra.out,codes/nohup_outs/superstart_etgpo_llm_cand_sugg_beam5_C5_Q1_stdp2.0_px_0.5_log_r5_er_0.6_mt1_top0.95_sz20000_unified_opt_fs_tacred_20260513_230331_node2_qwen4_v9_ultra.out,../gradients_experiments/20260522_034108_superstart_etgpo_llm_cand_sugg_beam5_C5_Q1_stdp2.0_px_0.5_log_r5_er_0.6_mt1_top0.95_sz20000_unified_opt_fs_tacred_20260513_230331_node2_qwen4_v9_ultra,gradients_experiments/20260522_034108_superstart_etgpo_llm_cand_sugg_beam5_C5_Q1_stdp2.0_px_0.5_log_r5_er_0.6_mt1_top0.95_sz20000_unified_opt_fs_tacred_20260513_230331_node2_qwen4_v9_ultra/summary.json,True,True,2,summary.json matching beam node,2,2,True,stored prompt is optimizer-selected
tacred_qwen_etgpo_node_x_gradpo-prob,tacred_qwen_etgpo_node_x,gradpo-prob,nohup_outs/superstart_etgpo_llm_prob_beam5_C5_Q1_stdp2.0_px_0.5_log_r5_er_0.6_mt1_top0.95_sz20000_unified_opt_fs_tacred_20260513_230331_node2_qwen4_v9_ultra.out,codes/nohup_outs/superstart_etgpo_llm_prob_beam5_C5_Q1_stdp2.0_px_0.5_log_r5_er_0.6_mt1_top0.95_sz20000_unified_opt_fs_tacred_20260513_230331_node2_qwen4_v9_ultra.out,../gradients_experiments/20260522_011525_superstart_etgpo_llm_prob_beam5_C5_Q1_stdp2.0_px_0.5_log_r5_er_0.6_mt1_top0.95_sz20000_unified_opt_fs_tacred_20260513_230331_node2_qwen4_v9_ultra,gradients_experiments/20260522_011525_superstart_etgpo_llm_prob_beam5_C5_Q1_stdp2.0_px_0.5_log_r5_er_0.6_mt1_top0.95_sz20000_unified_opt_fs_tacred_20260513_230331_node2_qwen4_v9_ultra/summary.json,True,True,2,summary.json matching beam node,2,2,True,stored prompt is optimizer-selected
tacred_gemma_rpo_node_x_gradpo-gen,tacred_gemma_rpo_node_x,gradpo-gen,aunabilg1.txt node 2,codes/nohup_outs/aunabilg1.txt,../gradients_experiments/20260519_223428_llm_cand_sugg_beam5_C5_Q1_stdp2.0_px_0.5_log_r3_er_0.6_mt3_sz30000_20260508_120655_google-gemma-3-4b-it_node3_v8,gradients_experiments/20260519_223428_llm_cand_sugg_beam5_C5_Q1_stdp2.0_px_0.5_log_r3_er_0.6_mt3_sz30000_20260508_120655_google-gemma-3-4b-it_node3_v8/summary.json,False,True,1,source log selected/hinted beam_node,2,2,False,"stored prompt identified by SOURCE node hint, not final selection"
