code,base_code,method,source_declared,source_log,source_resolution,run_dir_declared,run_dir_resolved,run_dir_exists,summary_json,summary_exists,steps_jsonl,steps_exists,prompt_found_in_log,score_source,candidate_rank,accepted_by_optimizer,selection_note,precision,precision_std,recall,recall_std,f1,f1_std,stable_f1,spans_changed,span_evidence,selected_token
tacred_qwen_rpo_node_x_lpo,tacred_qwen_rpo_node_x,lpo,codes/nohup_outs/amlan_m1_round3_lpo1.txt,codes/nohup_outs/amlan_m1_round3_lpo1.txt,declared,../lpo_experiments/20260522_001510_superstart_lpo_roleswitch_node2_step1_n1000_qwen4_optqwen14,lpo_experiments/20260522_001510_superstart_lpo_roleswitch_node2_step1_n1000_qwen4_optqwen14,False,lpo_experiments/20260522_001510_superstart_lpo_roleswitch_node2_step1_n1000_qwen4_optqwen14/summary.json,False,lpo_experiments/20260522_001510_superstart_lpo_roleswitch_node2_step1_n1000_qwen4_optqwen14/steps.jsonl,False,True,matching dev candidate,,True,stored prompt selected by LPO source workflow,38.51,6.11,41.46,4.12,39.89,5.16,29.58,4,source log: location tagging locations=N,
tacred_qwen_rpo_node_x_greater,tacred_qwen_rpo_node_x,greater,nohup_outs/greater_seq_node2_1steps_n10000_lmd0.2_k25_u10_z5_qwen4.out,codes/nohup_outs/greater_seq_node2_1steps_n10000_lmd0.2_k25_u10_z5_qwen4.out,declared,../greater_experiments/20260514_172100_seq_node2_1steps_lmd0.2_qwen4,greater_experiments/20260514_172100_seq_node2_1steps_lmd0.2_qwen4,True,greater_experiments/20260514_172100_seq_node2_1steps_lmd0.2_qwen4/summary.json,True,greater_experiments/20260514_172100_seq_node2_1steps_lmd0.2_qwen4/steps.jsonl,True,True,steps.jsonl matching top-z evaluation,3,True,stored prompt is the accepted top-z selection,37.24546001365206,5.306025016766932,41.31767775603392,4.668329711600381,39.155829158227625,4.974835504175096,29.20615814987743,1,algorithm/artifact: one evaluated token location; acceptance reported separately,I
tacred_qwen_rpo_node_x_greater-tg,tacred_qwen_rpo_node_x,greater-tg,nohup_outs/greater_topgrad_node2_1steps_n10000_lmd0.2_k25_u10_z5_qwen4.out,codes/nohup_outs/greater_topgrad_node2_1steps_n10000_lmd0.2_k25_u10_z5_qwen4.out,declared,../greater_experiments/20260514_132613_topgrad_node2_1steps_lmd0.2_qwen4,greater_experiments/20260514_132613_topgrad_node2_1steps_lmd0.2_qwen4,True,greater_experiments/20260514_132613_topgrad_node2_1steps_lmd0.2_qwen4/summary.json,True,greater_experiments/20260514_132613_topgrad_node2_1steps_lmd0.2_qwen4/steps.jsonl,True,True,steps.jsonl matching top-z evaluation,4,True,stored prompt is the accepted top-z selection,31.615056170459727,3.3606547894144785,45.72243966079583,4.2868168503534685,37.36684406240202,3.722139292453636,29.92256547749475,1,algorithm/artifact: one evaluated token location; acceptance reported separately,your
tacred_qwen_rpo_node_y_lpo,tacred_qwen_rpo_node_y,lpo,codes/nohup_outs/amlan_m1_round3_lpo2.txt,codes/nohup_outs/amlan_m1_round3_lpo2.txt,declared,../lpo_experiments/20260522_015629_superstart_lpo_roleswitch_node10_step1_n1000_qwen4_optqwen14,lpo_experiments/20260522_015629_superstart_lpo_roleswitch_node10_step1_n1000_qwen4_optqwen14,False,lpo_experiments/20260522_015629_superstart_lpo_roleswitch_node10_step1_n1000_qwen4_optqwen14/summary.json,False,lpo_experiments/20260522_015629_superstart_lpo_roleswitch_node10_step1_n1000_qwen4_optqwen14/steps.jsonl,False,True,matching dev candidate,,True,stored prompt selected by LPO source workflow,41.66,1.46,38.04,2.45,39.72,1.52,36.68,3,source log: location tagging locations=N,
tacred_qwen_rpo_node_y_greater,tacred_qwen_rpo_node_y,greater,nohup_outs/greater_seq_node10_1steps_n10000_lmd0.2_k25_u10_z5_qwen4.out,codes/nohup_outs/greater_seq_node10_1steps_n10000_lmd0.2_k25_u10_z5_qwen4.out,declared,../greater_experiments/20260514_180811_seq_node10_1steps_lmd0.2_qwen4,greater_experiments/20260514_180811_seq_node10_1steps_lmd0.2_qwen4,True,greater_experiments/20260514_180811_seq_node10_1steps_lmd0.2_qwen4/summary.json,True,greater_experiments/20260514_180811_seq_node10_1steps_lmd0.2_qwen4/steps.jsonl,True,True,steps.jsonl matching top-z evaluation,2,True,stored prompt is the accepted top-z selection,41.90561351217089,4.204170029393814,37.32876712328767,4.380786967812842,39.45947289081783,4.188152716175252,31.083167458467322,1,algorithm/artifact: one evaluated token location; acceptance reported separately,Class
tacred_qwen_rpo_node_y_greater-tg,tacred_qwen_rpo_node_y,greater-tg,nohup_outs/greater_topgrad_node10_1steps_n10000_lmd0.2_k25_u10_z5_qwen4.out,codes/nohup_outs/greater_topgrad_node10_1steps_n10000_lmd0.2_k25_u10_z5_qwen4.out,declared,../greater_experiments/20260514_132706_topgrad_node2_1steps_lmd0.2_qwen4,greater_experiments/20260514_132706_topgrad_node2_1steps_lmd0.2_qwen4,True,greater_experiments/20260514_132706_topgrad_node2_1steps_lmd0.2_qwen4/summary.json,True,greater_experiments/20260514_132706_topgrad_node2_1steps_lmd0.2_qwen4/steps.jsonl,True,True,steps.jsonl matching top-z evaluation,1,True,stored prompt is the accepted top-z selection,44.76715372717696,3.971796026609635,35.80071754729289,4.521769695467582,39.76822488450396,4.33779826366966,31.09262835716464,1,algorithm/artifact: one evaluated token location; acceptance reported separately,1
tacred_qwen_evoprompt_node_x_greater,tacred_qwen_evoprompt_node_x,greater,nohup_outs/superstart_greater_seq_node14_1steps_lmd0.2_qwen4_20260513_093517.out,codes/nohup_outs/aunabil_m1_evo_greater1.txt,recovered by selected-prompt search,../greater_experiments/20260520_171246_superstart_greater_seq_node14_1steps_lmd0.2_qwen4_20260513_093517,greater_experiments/20260520_171246_superstart_greater_seq_node14_1steps_lmd0.2_qwen4_20260513_093517,False,greater_experiments/20260520_171246_superstart_greater_seq_node14_1steps_lmd0.2_qwen4_20260513_093517/summary.json,False,greater_experiments/20260520_171246_superstart_greater_seq_node14_1steps_lmd0.2_qwen4_20260513_093517/steps.jsonl,False,True,selected top-z dev candidate,3,True,stored prompt matched selected candidate in source log,19.35,1.47,48.90,3.76,27.70,1.95,23.80,1,algorithm/artifact: one evaluated token location; acceptance reported separately,'I'
tacred_qwen_evoprompt_node_x_greater-tg,tacred_qwen_evoprompt_node_x,greater-tg,nohup_outs/superstart_greater_topgrad_node14_1steps_lmd0.2_qwen4_20260513_093517.out,codes/nohup_outs/superstart_greater_topgrad_node14_1steps_lmd0.2_qwen4_20260513_093517.out,declared,../greater_experiments/20260520_104604_superstart_greater_topgrad_node14_1steps_lmd0.2_qwen4_20260513_093517,greater_experiments/20260520_104604_superstart_greater_topgrad_node14_1steps_lmd0.2_qwen4_20260513_093517,True,greater_experiments/20260520_104604_superstart_greater_topgrad_node14_1steps_lmd0.2_qwen4_20260513_093517/summary.json,True,greater_experiments/20260520_104604_superstart_greater_topgrad_node14_1steps_lmd0.2_qwen4_20260513_093517/steps.jsonl,True,True,steps.jsonl matching top-z evaluation,3,True,stored prompt is the accepted top-z selection,20.172361442202714,2.2202792151342696,47.23091976516634,3.1513027476253024,28.236071059878515,2.6452089288261353,22.945653202226246,1,algorithm/artifact: one evaluated token location; acceptance reported separately,your
tacred_qwen_evoprompt_node_y_lpo,tacred_qwen_evoprompt_node_y,lpo,codes/nohup_outs/amlan_m3_round3_lpo2.txt,codes/nohup_outs/amlan_m3_round3_lpo2.txt,declared,../lpo_experiments/20260522_011452_superstart_lpo_roleswitch_node42_step1_n1000_qwen4_optqwen14_20260513_093517,lpo_experiments/20260522_011452_superstart_lpo_roleswitch_node42_step1_n1000_qwen4_optqwen14_20260513_093517,False,lpo_experiments/20260522_011452_superstart_lpo_roleswitch_node42_step1_n1000_qwen4_optqwen14_20260513_093517/summary.json,False,lpo_experiments/20260522_011452_superstart_lpo_roleswitch_node42_step1_n1000_qwen4_optqwen14_20260513_093517/steps.jsonl,False,True,matching dev candidate,,True,stored prompt selected by LPO source workflow,23.93,3.31,46.04,3.83,31.44,3.68,24.08,5,source log: location tagging locations=N,
tacred_qwen_evoprompt_node_y_greater,tacred_qwen_evoprompt_node_y,greater,nohup_outs/superstart_greater_seq_node42_1steps_lmd0.2_qwen4_20260513_093517.out,codes/nohup_outs/aunabil_m2_evo_greater1.txt,recovered by selected-prompt search,../greater_experiments/20260520_171436_superstart_greater_seq_node42_1steps_lmd0.2_qwen4_20260513_093517,greater_experiments/20260520_171436_superstart_greater_seq_node42_1steps_lmd0.2_qwen4_20260513_093517,False,greater_experiments/20260520_171436_superstart_greater_seq_node42_1steps_lmd0.2_qwen4_20260513_093517/summary.json,False,greater_experiments/20260520_171436_superstart_greater_seq_node42_1steps_lmd0.2_qwen4_20260513_093517/steps.jsonl,False,True,selected top-z dev candidate,2,True,stored prompt matched selected candidate in source log,24.77,3.34,45.58,4.14,32.06,3.77,24.53,1,algorithm/artifact: one evaluated token location; acceptance reported separately,'Given'
